Quantization Type,Prompt Index,Memory Usage (MB),Time (s),Power Usage (Watts),Energy Consumption (J),Image Names
NF4,1,10432.0,21.49,353.18,7489.98,"test-NF4-prompt1-run1.png, test-NF4-prompt1-run2.png, test-NF4-prompt1-run3.png, test-NF4-prompt1-run4.png, test-NF4-prompt1-run5.png, test-NF4-prompt1-run6.png, test-NF4-prompt1-run7.png, test-NF4-prompt1-run8.png, test-NF4-prompt1-run9.png, test-NF4-prompt1-run10.png"
NF4,2,10432.0,21.34,357.12,7521.22,"test-NF4-prompt2-run1.png, test-NF4-prompt2-run2.png, test-NF4-prompt2-run3.png, test-NF4-prompt2-run4.png, test-NF4-prompt2-run5.png, test-NF4-prompt2-run6.png, test-NF4-prompt2-run7.png, test-NF4-prompt2-run8.png, test-NF4-prompt2-run9.png, test-NF4-prompt2-run10.png"
NF4,3,10432.0,21.39,356.42,7523.21,"test-NF4-prompt3-run1.png, test-NF4-prompt3-run2.png, test-NF4-prompt3-run3.png, test-NF4-prompt3-run4.png, test-NF4-prompt3-run5.png, test-NF4-prompt3-run6.png, test-NF4-prompt3-run7.png, test-NF4-prompt3-run8.png, test-NF4-prompt3-run9.png, test-NF4-prompt3-run10.png"
NF4,4,10432.0,21.32,357.33,7522.58,"test-NF4-prompt4-run1.png, test-NF4-prompt4-run2.png, test-NF4-prompt4-run3.png, test-NF4-prompt4-run4.png, test-NF4-prompt4-run5.png, test-NF4-prompt4-run6.png, test-NF4-prompt4-run7.png, test-NF4-prompt4-run8.png, test-NF4-prompt4-run9.png, test-NF4-prompt4-run10.png"
NF4,5,10432.0,21.32,357.04,7518.6,"test-NF4-prompt5-run1.png, test-NF4-prompt5-run2.png, test-NF4-prompt5-run3.png, test-NF4-prompt5-run4.png, test-NF4-prompt5-run5.png, test-NF4-prompt5-run6.png, test-NF4-prompt5-run7.png, test-NF4-prompt5-run8.png, test-NF4-prompt5-run9.png, test-NF4-prompt5-run10.png"
NF4,6,10432.0,21.35,356.62,7521.76,"test-NF4-prompt6-run1.png, test-NF4-prompt6-run2.png, test-NF4-prompt6-run3.png, test-NF4-prompt6-run4.png, test-NF4-prompt6-run5.png, test-NF4-prompt6-run6.png, test-NF4-prompt6-run7.png, test-NF4-prompt6-run8.png, test-NF4-prompt6-run9.png, test-NF4-prompt6-run10.png"
NF4,7,10432.0,21.35,356.31,7509.58,"test-NF4-prompt7-run1.png, test-NF4-prompt7-run2.png, test-NF4-prompt7-run3.png, test-NF4-prompt7-run4.png, test-NF4-prompt7-run5.png, test-NF4-prompt7-run6.png, test-NF4-prompt7-run7.png, test-NF4-prompt7-run8.png, test-NF4-prompt7-run9.png, test-NF4-prompt7-run10.png"
NF4,8,10432.0,21.35,356.55,7507.84,"test-NF4-prompt8-run1.png, test-NF4-prompt8-run2.png, test-NF4-prompt8-run3.png, test-NF4-prompt8-run4.png, test-NF4-prompt8-run5.png, test-NF4-prompt8-run6.png, test-NF4-prompt8-run7.png, test-NF4-prompt8-run8.png, test-NF4-prompt8-run9.png, test-NF4-prompt8-run10.png"
FP4,1,10432.0,21.33,354.18,7456.78,"test-FP4-prompt1-run1.png, test-FP4-prompt1-run2.png, test-FP4-prompt1-run3.png, test-FP4-prompt1-run4.png, test-FP4-prompt1-run5.png, test-FP4-prompt1-run6.png, test-FP4-prompt1-run7.png, test-FP4-prompt1-run8.png, test-FP4-prompt1-run9.png, test-FP4-prompt1-run10.png"
FP4,2,10432.0,21.29,354.83,7463.09,"test-FP4-prompt2-run1.png, test-FP4-prompt2-run2.png, test-FP4-prompt2-run3.png, test-FP4-prompt2-run4.png, test-FP4-prompt2-run5.png, test-FP4-prompt2-run6.png, test-FP4-prompt2-run7.png, test-FP4-prompt2-run8.png, test-FP4-prompt2-run9.png, test-FP4-prompt2-run10.png"
FP4,3,10432.0,21.35,354.63,7471.98,"test-FP4-prompt3-run1.png, test-FP4-prompt3-run2.png, test-FP4-prompt3-run3.png, test-FP4-prompt3-run4.png, test-FP4-prompt3-run5.png, test-FP4-prompt3-run6.png, test-FP4-prompt3-run7.png, test-FP4-prompt3-run8.png, test-FP4-prompt3-run9.png, test-FP4-prompt3-run10.png"
FP4,4,10432.0,21.26,356.33,7481.78,"test-FP4-prompt4-run1.png, test-FP4-prompt4-run2.png, test-FP4-prompt4-run3.png, test-FP4-prompt4-run4.png, test-FP4-prompt4-run5.png, test-FP4-prompt4-run6.png, test-FP4-prompt4-run7.png, test-FP4-prompt4-run8.png, test-FP4-prompt4-run9.png, test-FP4-prompt4-run10.png"
FP4,5,10432.0,21.25,355.76,7465.18,"test-FP4-prompt5-run1.png, test-FP4-prompt5-run2.png, test-FP4-prompt5-run3.png, test-FP4-prompt5-run4.png, test-FP4-prompt5-run5.png, test-FP4-prompt5-run6.png, test-FP4-prompt5-run7.png, test-FP4-prompt5-run8.png, test-FP4-prompt5-run9.png, test-FP4-prompt5-run10.png"
FP4,6,10432.0,21.33,354.66,7470.51,"test-FP4-prompt6-run1.png, test-FP4-prompt6-run2.png, test-FP4-prompt6-run3.png, test-FP4-prompt6-run4.png, test-FP4-prompt6-run5.png, test-FP4-prompt6-run6.png, test-FP4-prompt6-run7.png, test-FP4-prompt6-run8.png, test-FP4-prompt6-run9.png, test-FP4-prompt6-run10.png"
FP4,7,10432.0,21.31,354.48,7456.46,"test-FP4-prompt7-run1.png, test-FP4-prompt7-run2.png, test-FP4-prompt7-run3.png, test-FP4-prompt7-run4.png, test-FP4-prompt7-run5.png, test-FP4-prompt7-run6.png, test-FP4-prompt7-run7.png, test-FP4-prompt7-run8.png, test-FP4-prompt7-run9.png, test-FP4-prompt7-run10.png"
FP4,8,10432.0,21.33,355.14,7468.6,"test-FP4-prompt8-run1.png, test-FP4-prompt8-run2.png, test-FP4-prompt8-run3.png, test-FP4-prompt8-run4.png, test-FP4-prompt8-run5.png, test-FP4-prompt8-run6.png, test-FP4-prompt8-run7.png, test-FP4-prompt8-run8.png, test-FP4-prompt8-run9.png, test-FP4-prompt8-run10.png"
8-bit,1,18708.2,25.45,292.01,7338.57,"test-8-bit-prompt1-run1.png, test-8-bit-prompt1-run2.png, test-8-bit-prompt1-run3.png, test-8-bit-prompt1-run4.png, test-8-bit-prompt1-run5.png, test-8-bit-prompt1-run6.png, test-8-bit-prompt1-run7.png, test-8-bit-prompt1-run8.png, test-8-bit-prompt1-run9.png, test-8-bit-prompt1-run10.png"
8-bit,2,18746.0,25.47,292.67,7366.07,"test-8-bit-prompt2-run1.png, test-8-bit-prompt2-run2.png, test-8-bit-prompt2-run3.png, test-8-bit-prompt2-run4.png, test-8-bit-prompt2-run5.png, test-8-bit-prompt2-run6.png, test-8-bit-prompt2-run7.png, test-8-bit-prompt2-run8.png, test-8-bit-prompt2-run9.png, test-8-bit-prompt2-run10.png"
8-bit,3,18721.3,25.55,291.14,7350.13,"test-8-bit-prompt3-run1.png, test-8-bit-prompt3-run2.png, test-8-bit-prompt3-run3.png, test-8-bit-prompt3-run4.png, test-8-bit-prompt3-run5.png, test-8-bit-prompt3-run6.png, test-8-bit-prompt3-run7.png, test-8-bit-prompt3-run8.png, test-8-bit-prompt3-run9.png, test-8-bit-prompt3-run10.png"
8-bit,4,18732.9,25.41,292.41,7340.62,"test-8-bit-prompt4-run1.png, test-8-bit-prompt4-run2.png, test-8-bit-prompt4-run3.png, test-8-bit-prompt4-run4.png, test-8-bit-prompt4-run5.png, test-8-bit-prompt4-run6.png, test-8-bit-prompt4-run7.png, test-8-bit-prompt4-run8.png, test-8-bit-prompt4-run9.png, test-8-bit-prompt4-run10.png"
8-bit,5,18727.1,25.3,293.07,7326.78,"test-8-bit-prompt5-run1.png, test-8-bit-prompt5-run2.png, test-8-bit-prompt5-run3.png, test-8-bit-prompt5-run4.png, test-8-bit-prompt5-run5.png, test-8-bit-prompt5-run6.png, test-8-bit-prompt5-run7.png, test-8-bit-prompt5-run8.png, test-8-bit-prompt5-run9.png, test-8-bit-prompt5-run10.png"
8-bit,6,18734.4,25.48,292.52,7355.43,"test-8-bit-prompt6-run1.png, test-8-bit-prompt6-run2.png, test-8-bit-prompt6-run3.png, test-8-bit-prompt6-run4.png, test-8-bit-prompt6-run5.png, test-8-bit-prompt6-run6.png, test-8-bit-prompt6-run7.png, test-8-bit-prompt6-run8.png, test-8-bit-prompt6-run9.png, test-8-bit-prompt6-run10.png"
8-bit,7,18698.2,25.3,292.35,7307.04,"test-8-bit-prompt7-run1.png, test-8-bit-prompt7-run2.png, test-8-bit-prompt7-run3.png, test-8-bit-prompt7-run4.png, test-8-bit-prompt7-run5.png, test-8-bit-prompt7-run6.png, test-8-bit-prompt7-run7.png, test-8-bit-prompt7-run8.png, test-8-bit-prompt7-run9.png, test-8-bit-prompt7-run10.png"
8-bit,8,18735.6,25.47,292.93,7363.92,"test-8-bit-prompt8-run1.png, test-8-bit-prompt8-run2.png, test-8-bit-prompt8-run3.png, test-8-bit-prompt8-run4.png, test-8-bit-prompt8-run5.png, test-8-bit-prompt8-run6.png, test-8-bit-prompt8-run7.png, test-8-bit-prompt8-run8.png, test-8-bit-prompt8-run9.png, test-8-bit-prompt8-run10.png"
Mixed Precision,1,16436.0,26.05,302.15,7761.82,"test-Mixed Precision-prompt1-run1.png, test-Mixed Precision-prompt1-run2.png, test-Mixed Precision-prompt1-run3.png, test-Mixed Precision-prompt1-run4.png, test-Mixed Precision-prompt1-run5.png, test-Mixed Precision-prompt1-run6.png, test-Mixed Precision-prompt1-run7.png, test-Mixed Precision-prompt1-run8.png, test-Mixed Precision-prompt1-run9.png, test-Mixed Precision-prompt1-run10.png"
Mixed Precision,2,16436.0,25.93,303.26,7761.99,"test-Mixed Precision-prompt2-run1.png, test-Mixed Precision-prompt2-run2.png, test-Mixed Precision-prompt2-run3.png, test-Mixed Precision-prompt2-run4.png, test-Mixed Precision-prompt2-run5.png, test-Mixed Precision-prompt2-run6.png, test-Mixed Precision-prompt2-run7.png, test-Mixed Precision-prompt2-run8.png, test-Mixed Precision-prompt2-run9.png, test-Mixed Precision-prompt2-run10.png"
Mixed Precision,3,16436.0,26.0,302.34,7759.0,"test-Mixed Precision-prompt3-run1.png, test-Mixed Precision-prompt3-run2.png, test-Mixed Precision-prompt3-run3.png, test-Mixed Precision-prompt3-run4.png, test-Mixed Precision-prompt3-run5.png, test-Mixed Precision-prompt3-run6.png, test-Mixed Precision-prompt3-run7.png, test-Mixed Precision-prompt3-run8.png, test-Mixed Precision-prompt3-run9.png, test-Mixed Precision-prompt3-run10.png"
Mixed Precision,4,16436.0,25.91,303.88,7775.68,"test-Mixed Precision-prompt4-run1.png, test-Mixed Precision-prompt4-run2.png, test-Mixed Precision-prompt4-run3.png, test-Mixed Precision-prompt4-run4.png, test-Mixed Precision-prompt4-run5.png, test-Mixed Precision-prompt4-run6.png, test-Mixed Precision-prompt4-run7.png, test-Mixed Precision-prompt4-run8.png, test-Mixed Precision-prompt4-run9.png, test-Mixed Precision-prompt4-run10.png"
Mixed Precision,5,16436.0,25.89,303.29,7751.2,"test-Mixed Precision-prompt5-run1.png, test-Mixed Precision-prompt5-run2.png, test-Mixed Precision-prompt5-run3.png, test-Mixed Precision-prompt5-run4.png, test-Mixed Precision-prompt5-run5.png, test-Mixed Precision-prompt5-run6.png, test-Mixed Precision-prompt5-run7.png, test-Mixed Precision-prompt5-run8.png, test-Mixed Precision-prompt5-run9.png, test-Mixed Precision-prompt5-run10.png"
Mixed Precision,6,16436.0,25.98,302.73,7771.81,"test-Mixed Precision-prompt6-run1.png, test-Mixed Precision-prompt6-run2.png, test-Mixed Precision-prompt6-run3.png, test-Mixed Precision-prompt6-run4.png, test-Mixed Precision-prompt6-run5.png, test-Mixed Precision-prompt6-run6.png, test-Mixed Precision-prompt6-run7.png, test-Mixed Precision-prompt6-run8.png, test-Mixed Precision-prompt6-run9.png, test-Mixed Precision-prompt6-run10.png"
Mixed Precision,7,16436.0,25.97,302.45,7750.78,"test-Mixed Precision-prompt7-run1.png, test-Mixed Precision-prompt7-run2.png, test-Mixed Precision-prompt7-run3.png, test-Mixed Precision-prompt7-run4.png, test-Mixed Precision-prompt7-run5.png, test-Mixed Precision-prompt7-run6.png, test-Mixed Precision-prompt7-run7.png, test-Mixed Precision-prompt7-run8.png, test-Mixed Precision-prompt7-run9.png, test-Mixed Precision-prompt7-run10.png"
Mixed Precision,8,16436.0,25.93,303.05,7752.67,"test-Mixed Precision-prompt8-run1.png, test-Mixed Precision-prompt8-run2.png, test-Mixed Precision-prompt8-run3.png, test-Mixed Precision-prompt8-run4.png, test-Mixed Precision-prompt8-run5.png, test-Mixed Precision-prompt8-run6.png, test-Mixed Precision-prompt8-run7.png, test-Mixed Precision-prompt8-run8.png, test-Mixed Precision-prompt8-run9.png, test-Mixed Precision-prompt8-run10.png"
